잔여좌석,전체좌석,사용중,년,월,일,시간,요일코드,열람실 ID,Exam_Flag,Holiday_Flag,Post_Holiday_Flag,EMA_Short,EMA_Periodic
193,375,182,2025,10,1,11,2,1,0,0,0,0.48533333333333334,0.48533333333333334
160,375,215,2025,10,1,11,2,1,0,0,0,0.5733333333333334,0.5733333333333334
133,375,242,2025,10,1,12,2,1,0,0,0,0.6453333333333333,0.6453333333333333
110,375,265,2025,10,1,12,2,1,0,0,0,0.7066666666666667,0.7066666666666667
81,375,294,2025,10,1,13,2,1,0,0,0,0.784,0.784
66,375,309,2025,10,1,13,2,1,0,0,0,0.824,0.824
40,375,335,2025,10,1,14,2,1,0,0,0,0.8933333333333333,0.8933333333333333
32,375,343,2025,10,1,14,2,1,0,0,0,0.9146666666666666,0.9146666666666666
0,375,375,2025,10,1,15,2,1,0,0,0,1.0,1.0
8,375,367,2025,10,1,15,2,1,0,0,0,0.9786666666666667,0.9786666666666667
3,375,372,2025,10,1,16,2,1,0,0,0,0.992,0.992
0,375,375,2025,10,1,16,2,1,0,0,0,1.0,1.0
5,375,370,2025,10,1,17,2,1,0,0,0,0.9866666666666667,0.9866666666666667
6,375,369,2025,10,1,17,2,1,0,0,0,0.984,0.984
13,375,362,2025,10,1,18,2,1,0,0,0,0.9653333333333334,0.9653333333333334
8,375,367,2025,10,1,18,2,1,0,0,0,0.9786666666666667,0.9786666666666667
16,375,359,2025,10,1,19,2,1,0,0,0,0.9573333333333334,0.9573333333333334
9,375,366,2025,10,1,19,2,1,0,0,0,0.976,0.976
14,375,361,2025,10,1,20,2,1,0,0,0,0.9626666666666667,0.9626666666666667
20,375,355,2025,10,1,20,2,1,0,0,0,0.9466666666666667,0.9466666666666667
44,375,331,2025,10,1,21,2,1,0,0,0,0.8826666666666667,0.8826666666666667
72,375,303,2025,10,1,22,2,1,0,0,0,0.808,0.808
87,375,288,2025,10,1,22,2,1,0,0,0,0.768,0.768
114,375,261,2025,10,1,23,2,1,0,0,0,0.696,0.696
141,375,234,2025,10,1,23,2,1,0,0,0,0.624,0.624
372,375,3,2025,10,2,6,3,1,0,0,0,0.008,0.008
372,375,3,2025,10,2,6,3,1,0,0,0,0.008,0.008
370,375,5,2025,10,2,7,3,1,0,0,0,0.013333333333333334,0.013333333333333334
367,375,8,2025,10,2,7,3,1,0,0,0,0.021333333333333333,0.021333333333333333
356,375,19,2025,10,2,8,3,1,0,0,0,0.050666666666666665,0.050666666666666665
341,375,34,2025,10,2,8,3,1,0,0,0,0.09066666666666667,0.09066666666666667
270,375,105,2025,10,2,10,3,1,0,0,0,0.28,0.28
266,375,109,2025,10,2,10,3,1,0,0,0,0.2906666666666667,0.2906666666666667
211,375,164,2025,10,2,11,3,1,0,0,0,0.43733333333333335,0.43733333333333335
186,375,189,2025,10,2,12,3,1,0,0,0,0.504,0.504
172,375,203,2025,10,2,12,3,1,0,0,0,0.5413333333333333,0.5413333333333333
156,375,219,2025,10,2,13,3,1,0,0,0,0.584,0.584
138,375,237,2025,10,2,13,3,1,0,0,0,0.632,0.632
135,375,240,2025,10,2,14,3,1,0,0,0,0.64,0.64
133,375,242,2025,10,2,14,3,1,0,0,0,0.6453333333333333,0.6453333333333333
99,375,276,2025,10,2,15,3,1,0,0,0,0.736,0.736
99,375,276,2025,10,2,15,3,1,0,0,0,0.736,0.736
103,375,272,2025,10,2,16,3,1,0,0,0,0.7253333333333334,0.7253333333333334
91,375,284,2025,10,2,16,3,1,0,0,0,0.7573333333333333,0.7573333333333333
80,375,295,2025,10,2,17,3,1,0,0,0,0.7866666666666666,0.7866666666666666
87,375,288,2025,10,2,17,3,1,0,0,0,0.768,0.768
89,375,286,2025,10,2,18,3,1,0,0,0,0.7626666666666667,0.7626666666666667
89,375,286,2025,10,2,18,3,1,0,0,0,0.7626666666666667,0.7626666666666667
84,375,291,2025,10,2,19,3,1,0,0,0,0.776,0.776
91,375,284,2025,10,2,19,3,1,0,0,0,0.7573333333333333,0.7573333333333333
103,375,272,2025,10,2,20,3,1,0,0,0,0.7253333333333334,0.7253333333333334
113,375,262,2025,10,2,20,3,1,0,0,0,0.6986666666666667,0.6986666666666667
135,375,240,2025,10,2,21,3,1,0,0,0,0.64,0.64
174,375,201,2025,10,2,22,3,1,0,0,0,0.536,0.536
179,375,196,2025,10,2,22,3,1,0,0,0,0.5226666666666666,0.5226666666666666
221,375,154,2025,10,2,23,3,1,0,0,0,0.4106666666666667,0.4106666666666667
249,375,126,2025,10,2,23,3,1,0,0,0,0.336,0.336
372,375,3,2025,10,3,6,4,1,0,1,0,0.008,0.008
371,375,4,2025,10,3,6,4,1,0,1,0,0.010666666666666666,0.010666666666666666
